Quantity,Comment,Description,Supplier 1,Supplier Part Number 1
"5","67503-1020","USB, MINI, SMD, RA KME04-USBMU03A01","Digi-Key","WM5461CT-ND"
"5","IP4220CZ6","4 channel USB ESD protection device","Digi-Key","568-3529-2-ND"
"6","CAP 100uF 10V 1206(3216)","CAP 100uF 10V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD","Digi-Key","445-6007-1-ND"
"7","10K 1% 0603(1608)","10K 0.1W 1% 0603 (1608 Metric)  SMD","Digi-Key","541-10.0KHCT-ND"
"7","10K 5% 0603(1608)","10K 0.1W 5% 0603 (1608 Metric)  SMD","Digi-Key","311-10KGRCT-ND"
"8","GRM32ER60J107ME20L","1210 100uF capacitor for artix-7 power decoupling","Digi-Key","490-3390-1-ND"
"8","Jumper 0603(1608)","Jumper 0603 (1608 Metric)","Digi-Key","541-0.0GCT-ND"
"1","BH2542-20-SPGRH-3.0","Box Header, Pitch 2.54 mm, 2x10 Position, Height 9 mm, Tail Length 3 mm","",""
"1","HTSW-107-42-F-D","","",""
"1","MTLW-112-07-L-S-125","","",""
"1","TSW-102-26-L-S","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS","",""
"1","TSW-103-07-T-S","","",""
"1","TSW-105-05-T-D","","",""
"1","TSW-105-05-T-S","0.025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 5-Pin, Male, RoHS","",""
"1","TSW-106-07-T-D","","",""
"1","TSW-116-08-G-S","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 16-Pin, Male, RoHS","",""
"2","MTLW-116-07-F-S-265","","",""
"2","PH2541-2-SPGRH-6-3","Male Header, Pitch 2.54mm, 2x1 Position, Mated Height 6mm, Tail Length 3mm","",""
"2","PH2542-4-SPGRH-6-3","Male Header, Pitch 2.54mm, 2x2 Position, Mated Height 6mm, Tail Length 3mm","",""
"2","TSW-103-08-T-D","0.025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS","",""
"3","TSW-104-08-G-S","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS","",""
