Quantity per card;Total quantity to order;Supplier 1;Supplier Part Number 1;Description;Supplier webpage
4;30;Digi-Key;P4.70KHCT-ND;4K7 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P4.70KHCT-ND
4;30;Digi-Key;445-9050-1-ND;CAP 4.7uF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD;http://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1E475K080AC/445-9050-1-ND/3648704
5;40;Digi-Key;P100KHCT-ND;100K 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P100KHCT-ND
5;40;Digi-Key;541-100GCT-ND;100R 0.1W 5% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=541-100GCT-ND
5;40;Digi-Key;P1.0KGCT-ND;1K 0.1W 5% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P1.0KGCT-ND
5;25;Digi-Key;WM5461CT-ND;USB, MINI, SMD, RA KME04-USBMU03A01;http://www.digikey.com/product-search/en?keywords=WM5461CT-ND
5;25;Digi-Key;568-3529-2-ND;4 channel USB ESD protection device;http://www.digikey.com/product-search/en?keywords=568-3529-2-ND
6;30;Digi-Key;445-6007-1-ND;CAP 100uF 10V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD;http://www.digikey.com/product-search/en?keywords=445-6007-1-ND
7;50;Digi-Key;541-10.0KHCT-ND;10K 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=541-10.0KHCT-ND
7;50;Digi-Key;311-10KGRCT-ND;10K 0.1W 5% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=311-10KGRCT-ND
8;40;Digi-Key;490-3390-1-ND;1210 100uF capacitor for artix-7 power decoupling;http://www.digikey.com/product-search/en?keywords=490-3390-1-ND
8;40;Digi-Key;541-0.0GCT-ND;Jumper 0603 (1608 Metric);http://www.digikey.com/product-search/en?keywords=541-0.0GCT-ND
1;5;Farnell;2064067;SD and Combo Memory Card Connector, 9 Position Surface Mount, -25 to 85 degC, RoHS, Tape and Reel;http://no.farnell.com/molex/503500-0991/connector-sd-card-push-push-smt/dp/2064067?ost=2064067&categoryIdBox=&selectedCategoryId=&searchView=table&iscrfnonsku=false
1;6;Farnell;1641012RL;48 MHz oscillator;http://no.farnell.com/fox-electronics/fxo-hc736r-48/osc-5x7mm-smd-cer-48-000mhz/dp/1641012
23;115;Farnell;1833805;CAP 470nF 10V ±5% 0603 (1608 Metric) Thickness 1mm SMD;http://no.farnell.com/avx/0603zd474kat2a/cap-mlcc-x5r-470nf-10v-0603/dp/1833805?ost=1833805&selectedCategoryId=&categoryNameResp=Alle%2Bkategorier&searchView=table&iscrfnonsku=false
3;30;Farnell;2496834;CAP 15pF 16V ±0.25pF 0603 (1608 Metric) Thickness 1mm SMD;http://no.farnell.com/walsin/0603b104k500ct/capacitor-mlcc-x7r-0-1uf-50v-0603/dp/2496834?ost=2496834&selectedCategoryId=&categoryNameResp=Alle%2Bkategorier&searchView=table&iscrfnonsku=false
5;35;Farnell;1833809;CAP 1uF 16V ±5% 0603 (1608 Metric) Thickness 1mm SMD;http://no.farnell.com/avx/0603zg105zat2a/cap-mlcc-y5v-1uf-10v-0603/dp/1833809?ost=1833809&selectedCategoryId=&categoryNameResp=Alle%2Bkategorier&searchView=table&iscrfnonsku=false
1;6;Farnell;2064049;100 MHz oscillaor;http://no.farnell.com/fox-electronics/fxo-hc736r-100/osc-100mhz-3-3v-smd/dp/2064049
